endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Rua Fagundes Varela;Apartamento em Condomínio Club no Residencial Quatro Ilhas em São José  Andar alto, Sol da manhã e tarde 03 Dormitórios, sendo 01 suíte (ventilação natural) 01 Banheiro social  Sala ampla e cozinha integradas  Área de serviço com saída para sacada Sacada com churrasqueira a carvão (fechada em reiki) Piso porcelanato em todos ambientes Espera para Split nos dormitórios e sala 01 Vaga de garagem livre e coberta  Obs: ficam todos os móveis planejados e 03 aparelhos de ar condicionado.  Condomínio completo: Espaço Happy Hour e Espaço Gourmet, Espaço Fitness, SPA e Sauna, Piscina adulto e infantil e Solarium, Salão de Festas adulto e infantil Sala de Jogos e Bicicletário, Playground e Brinquedoteca, Zeladoria, Câmera de vigilância e Portaria 24h.  Excelente localização, próximo a padarias, supermercados, bancos, restaurantes, escolas, postos de gasolina, ponto de ônibus e demais comércios da região.  Agende sua visita e aproveite!;72;3;2;1;490002;398;650;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-areias-sao-jose-sc-72m2-id-2645746580/;Areias; São José
Avenida Dom Pedro I;"Apartamento com varanda e lazer no prédio à venda na praia da Enseada em Guarujá, amplo, arejado e com ótima distribuição. Confira!  CARACTERÍSTICAS: *3 quartos, sendo 1 dependência; *1 Sala em 2 ambientes; *Varanda na sala; *1 banheiro social; *1 banheiro de serviço; *Cozinha; *Área de serviços com lavanderia; *1 vaga de garagem;  DETALHES: *Condicionadores de ares em 2 dos quartos; *Ventiladores de teto na sala e quartos.  CONDOMÍNIO: Prédio com ótimo padrão de construção e estado de conservação, ótima localização próximo ao comércio da região. Oferece piscina aberta aquecida, playground, salão de jogos. Dispõe ainda de portões automatizados, serviço de praia, serviços de zeladoria, aceita pet.  PRAIA DA ENSEADA A Praia da Enseada, em Guarujá, é simplesmente deslumbrante. Com a extensão mais longa do município, sua urbanização foi planejada de forma única, com a orla livre de construções, exceto em suas extremidades. Com sua faixa de areia branca e fofa e mar calmo de águas cristalinas, é o destino ideal para quem busca diversão e relaxamento. A praia ainda possui excelente infraestrutura de lazer, com bares, quiosques e restaurantes, além de diversas mansões de veraneio e condomínios fechados. Não perca a chance de conhecer e aproveitar tudo o que a Praia da Enseada tem a oferecer!  Omega Imóveis Guarujá CRECI 37853-J -";78;3;2;1;370000;717;357;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-enseada-guaruja-sp-78m2-id-2645567160/;Enseada; Guarujá
Rua Guimarães Rosa;Apartamento 2 dormitorios, sendo 1 suite, sala 2 ambientes com sacada vista mar, wc social, cozinha, area de servico, 1 vaga de garagem demarcada. Armarios planejados nos quartos e cozinha. Mobiliado. Lazer Saalao de jogos e festas, piscina adulto e infantil, espplayground, quadra poliesportiva, brinquedoteca. Aceita- se financiamento bancario. PASCHOAL IMOVEIS LITORAL Contato Walkiria (13) 9. / (11) 9.   Apartamento 2 dormts, 1 suite* com vista mar permanente* 100 metros do mar * lazer completo* Garagem demarcada * Ocian * Praia Grande  APARTAMENTO COM 55 m² - em VILA ASSUNCAO em PRAIA GRANDE  Composição: 2 Dormitórios Sendo 1 Suíte 1 Banheiro com 1 vaga de Garagem  Caracteristicas do Edifício : Elevador Social,Elevador de Serviço,Acessibilidade,Garagem Privativa,Portão Automático,Portaria 24h,Interfone,Circuito Fechado TV,Água Individual,Gás Encanado,Piscina,Piscina Infantil,Piscina com Raia,Salão de Jogos,Salão de Festas,Quadra,Espaço Kids,Espaço Gourmet,Churrasqueira,Bicicletário,Playground Caracteristicas do Apartamento : Box Blindex,Cozinha Planejada,Dormitório Planejado,Sala de TV,Andar Alto,Vista para o Mar Acabamentos do Apartamento : Azulejo até o Teto;55;2;1;1;335000;498;265;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-assuncao-praia-grande-sp-55m2-id-2645267186/;Ocian; Praia Grande
Não informado;CONTATO WHATSAPP (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIARNDA  Casas de condomínio fechado fantástica da construtora Lua nova. Quando falamos de LN já sabendo que vai ser entregue com muita excelente e principalmente as condições.  Casa padrão: 48,9m2 Área de terreno: 128m2 ✅ 2 quartos ✅ 1 banheiro social ✅ Cozinha ✅ Área de serviço ✅ Possibilidade de ampliação ✅ Quintal privativo ✅ Espaço de até 2 vagas de garagem  🚨Condições Lua Nova🚨  ✅ Sinal de entrada apenas 500 reais ✅ Parcelamento em até 60x ✅ ITBI E CARTÓRIO GRÁTIS ✅ Participa do Minha Casa Minha Vida ✅ DESCONTO de até 55 MIL ✅ Menor taxa de juros ✅ Utilize seu FGTS E muito mais  ❇️ Localização próximo a Prefeitura de paço do Lumiar  Renda a cima de 1.400 🤩  Fale comigo agora LEANDRO MIRANDA WhatsApp (9.8.)9.8.8.7.1.3.4.4.7. instagran: @leandromiranda.imoveis;48;2;1;2;180009;1;1;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-pindai-paco-do-lumiar-ma-48m2-id-2645548898/;Pindaí; Paço do Lumiar
Estrada da Vitória;CONTATO WHATSAPP (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIRANDA  Pensou em morar com conforto, segurança e exclusividade próximo ao Felipinho pronto para morar? Estou com essa excelente oportunidade, condomínio Eco Jordão.  ✅ 2 quartos ✅ Suíte master ✅ 1 banheiro social ✅ Cozinha americana ✅ Área de serviço ✅ Varanda Gourmet ✅ Planta de 56m2  🔥CONDIÇÕES INACREDITÁVEL🔥  ITBI E CARTÓRIO GRÁTIS PARCELAMENTO EM ATÉ 24X RENDA A PARTIR DE 7 MIL ( PODE JUNTAR RENDA COM QUALQUER PESSOA ) VALOR DE TABELA 274 MIL UNIDADE PROMOCIONAIS A PARTIR DE 254 MIL  FALE COMIGO AGORA (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIRANDA;56;2;2;1;254004;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-joao-paulo-sao-luis-ma-56m2-id-2644804920/;João Paulo; São Luís
Rua Francisco Mário;Excelente apartamento, em condomínio com total infraestrutura e segurança 24h. Localizado na Barra Bonita, em rua sem saída, próximo ao Recreio Shopping e BRT. Vasto comércio no entorno, próximo a praia Prainha, imóvel de frente, em andar alto, voltado para o sol da manhã.  Enorme varanda, sala em 3 ambientes, piso madeira de Ipê, quatro amplos quartos, com armários soltos, sendo 1 suíte, banheiro social, ampla copa cozinha e banheiro de serviço.  Piscina, sauna, playground, salão de festas, churrasqueira, sala teens, quadra poliesportiva e academia. Duas vagas de garagem cobertas e vaga para visitantes. Oportunidade!!! 02a8c;141;4;3;2;1100000;1618;3516;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-armario-de-cozinha-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-141m2-id-2560414268/;Recreio dos Bandeirantes; Rio de Janeiro
Rua Santa Clara;Privilégio Imóveis Vende: Lindo Apartamento Claro e Arejado, Totalmente Reformado, Apenas 2 por andar em localização Excelente próx de todo o comércio. Composto de: Sala ampla em dois ambientes, 3 quartos convertidos para 2 quartos amplos com armários , terceiro quarto foi revertido para aumentar a sala , banheiro social grande , Cozinha com armário planejado, área de serviço e dependência completa. Porteira Fechada!!!! Vaga de Garagem na escritura. Portaria Imponente.  Agende já uma visita!;110;3;2;1;1490000;900;3800;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-copacabana-zona-sul-rio-de-janeiro-rj-110m2-id-2637856083/;Copacabana; Rio de Janeiro
Rua João Cachoeira;ITAIM BIBI : Apartamento todo reformado no itaim bibi , com 2 dormitórios sendo um deles suite,ar condicionado, sala de 2 ambientes, cozinha boa, lavanderia e dep de empregada, e assim vai vender rapido, preço bom e reformado, localização boa...é na hora, venha conhecer e fechar antes que seja tarde, e foi tudo reformado viu, eletrica hidraulica, todos os acabamentos, foram trocados, as esquadriás são novas, o piso totalmente de madeira todo novo, foi integralmente recuperado, a cozinha ganhou novos armarios, e todas partes sanitárias foram trocadas, então venha conhecer e fazer sua proposta,mas antes consulte valor e condiçoes,, se vc ja conhece o itaim , sabe do que estou falando, nesse bairro temos de tudo, em questão de comércio, bares restaurantes de todos agrados, em uma caminhada é possivel encontrar tudo que vc quer, doces salgados, roupas, carros, padarias farmacias, fora q o bairro ainda tem grandes empresas para oferta de empregos , local de facil acesso a tudo, transporte publico vias e acesso, perto de clubes, ibirapuera, pq do povo, cinelandia, museus, escolas boas e tudo mais ..vamos conhecer ?;89;2;2;1;1250000;1284;170;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-playground-vila-nova-conceicao-zona-sul-sao-paulo-sp-89m2-id-2644025921/;Vila Nova Conceição; São Paulo
Avenida Aratãs;O apartamento no bairro Indianópolis com 65 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros Possui salão de festas. Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.;65;2;2;1;830000;1480;194;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-salao-de-festas-moema-zona-sul-sao-paulo-sp-65m2-id-2645552743/;Indianópolis; São Paulo
Rua Assungui;O apartamento no bairro Vila Gumercindo possui 62 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros, 1 vaga garagem. Possui área de fitness, área verde de jardim, parquinho infantil, salão para festas e eventos. Vai lhe possibilitar curtir os dias mais quentes na piscina. o imóvel esta vago, próximo do metro Alto do ipiranga. Agenda sua visita!!!;62;2;2;1;585000;550;150;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-gumercindo-zona-sul-sao-paulo-sp-62m2-id-2579529393/;Vila Gumercindo; São Paulo
Rua Melo Alves;O apartamento no bairro Cerqueira César com 61 metros quadrados com 1 quarto e 1 banheiro Possui área de fitness, espaço gourmet, espaço jardinado, área de brinquedo para as crianças, espaço para festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes. Espaço reservado para preparar o seu churrasco. Elevador para mais praticidade no dia-a-dia. Já tem os móveis incluídos. Estamos à disposição para melhor atendê-lo, ligue sem compromisso e agende uma visita. Creci 030752-j;61;1;1;2;2130000;1500;260;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-cerqueira-cesar-centro-sao-paulo-sp-61m2-id-2645010805/;Cerqueira César; São Paulo
Rua do Bosque;Sala comercial com três salas, dois banheiros, três vagas de garagem, ar condicionado em prédio novo e moderno, bulevar. Próximo a farmácia ,restaurante. cada sala tem trinta metros quadrados totalmente reformadas com carpete novo, pintura nova, divisórias e mobiliada. próximo ao Fórum Trabalhista e metro Barra Funda.;90;0;2;3;958000;1750;350;https://www.zapimoveis.com.br/imovel/venda-casa-barra-funda-zona-oeste-sao-paulo-sp-90m2-id-2645287167/;Barra Funda; São Paulo
Rua José da Silva Machado;Apartamento com 2 dormitórios à venda, 83 m² - Tupi - Praia Grande/SP  Aceita financiamento bancário!  Apartamento amplo de 02 quartos à venda em Praia Grande, na Vila Tupi, bairro bem residencial, próximo de comércios em geral e somente 2 quadras da praia (200 metros do mar).  Imóvel de 84m² de área útil, 02 dormitórios sendo 01 suíte, sala espaçosa para dois ambientes, cozinha, lavanderia separada, banheiro social, sacada de frente para rua com vista lateral do mar, 01 vaga de garagem, ventilação natural, bem claro e arejado.  Prédio com piscina, salão de festas e jogos, portaria 24 horas, portões eletrônicos, interfone, elevadores.  Agende já uma visita sem compromisso com um de nossos corretores, teremos prazer em atendê-lo(a)!!! -;83;2;2;1;350000;780;316;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-vila-tupi-praia-grande-sp-83m2-id-2645110360/;Tupi; Praia Grande
Rua Venezuela;Metragem: Area Util: 67,00 m? Area Total: 88,00 m? Condominio: R$570,00 IPTU R$230,00 Distancia da praia: 1 quarteirao e meio da orla da praia da Guilhermina Valor de venda   R$269.000,00 proprietario sinaliza negociacao no valor. Este imovel aceita financiamento bancario ou carta de credito de consorcio. Caracteristicas: Apartamento 1 dormitorio, sala 2 ambientes com acesso a sacada, sacada com vista parcial para o mar, cozinha planejada, area de servico e 1 garagem. Pintura e revestimentos em otimo estado de conservacao. Lazer - Salao de festas e Salao de jogos. Estrutura do predio - 2 elevadores (social e servico) - Gas encanado - Portao automatizado - Acesso para cadeirantes - Acesso para banhistas - Permitido pets - Bicicletario - Agua (medidor individual) - Cameras de seguranca - Interfone - Servico de zeladoria Marque uma visita com o Corretor PASCHOAL 13. 99149.8050   . Nosso atendimento funciona de segunda a sabado das 9h as 17h e domingos e feriados das 9h as 12h.   Apartamento 1 dormitorio, garagem, sacada, elevador e vista mar. Guilhermina Praia Grande  APARTAMENTO COM 67 m² - em VILA GUILHERMINA em PRAIA GRANDE  Composição: 1 Dormitório 1 Banheiro com 1 vaga de Garagem  Caracteristicas do Edifício : Elevador Social,Elevador de Serviço,Acessibilidade,Portão Automático,Interfone,Gás Encanado,Armários no Térreo,Salão de Jogos,Salão de Festas Caracteristicas do Apartamento : Cozinha Planejada,Sala de TV,Sala de Jantar,Vista para o Mar Acabamentos do Apartamento : Piso Frio,Azulejo até o Teto;67;1;1;1;269000;570;230;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-elevador-vila-guilhermina-praia-grande-sp-67m2-id-2645265507/;Guilhermina; Praia Grande
Avenida Central;Contato : 2.7 - 9.8.8.1.7.8 .9.0.6 Corretor: Patrick Siqueira – (CRECI/ES10855)  Investimento: R$ 299.000,00  Excelente unidade 2 quartos em Colina de Laranjeiras, no Condomínio Ilha Bela.  Ótima localização, próximo a Shopping, supermercado, padaria, farmácia e a todo comércio local.  Apartamento reformado, rebaixamento de gesso com iluminação de LED na sala, armario modulado e ar condicionado nos quartos, banheiro com armario e box blindex, cozinha integrada a área de serviço, com armario, cooktop e forno, varanda com fechamento de vidro.  O condomínio conta com área de lazer completa, piscina adulto e infantil, playground, brinquedoteca, quadra poliesportiva, churrasqueira, salão de festas e salão de jogos.  Torre com elevador.  Imóvel apto a financiamento bancário e utilização de FGTS. Agende já sua visita !;50;2;1;1;299000;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-colina-de-laranjeiras-serra-es-50m2-id-2644993340/;Colina de Laranjeiras; Serra
Avenida da Cavalhada;Apartamento no bairro Cavalhada, 3° andar, dois lances de escada, semi mobiliado com 3 dormitórios, amplo living, cozinha com móveis sob medida, banheiro social com box, vaga de garagem fixa. Imóvel com toda documentação em dia apto para financiamento bancário e uso de FGTS. Agende sua visita e surpreenda-se. - Ligue agora , e agende uma visita;67;3;1;1;265000;450;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-playground-cavalhada-porto-alegre-rs-67m2-id-2644470158/;Cavalhada; Porto Alegre
Não informado;CONTATO WHATSAPP (9.8.)9.8.8.7.1.3.4.4.7. LEANDRO MIARNDA  Casas de condomínio fechado fantástica da construtora Lua nova. Quando falamos de LN já sabendo que vai ser entregue com muita excelente e principalmente as condições.  Casa padrão: 48,9m2 Área de terreno: 128m2 ✅ 2 quartos ✅ 1 banheiro social ✅ Cozinha ✅ Área de serviço ✅ Possibilidade de ampliação ✅ Quintal privativo ✅ Espaço de até 2 vagas de garagem  🚨Condições Lua Nova🚨  ✅ Sinal de entrada apenas 500 reais ✅ Parcelamento em até 60x ✅ ITBI E CARTÓRIO GRÁTIS ✅ Participa do Minha Casa Minha Vida ✅ DESCONTO de até 55 MIL ✅ Menor taxa de juros ✅ Utilize seu FGTS E muito mais  ❇️ Localização próximo a Prefeitura de paço do Lumiar  Renda a cima de 1.400 🤩  Fale comigo agora LEANDRO MIRANDA WhatsApp (9.8.)9.8.8.7.1.3.4.4.7. instagran: @leandromiranda.imoveis;48;2;1;2;180014;1;1;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-2-quartos-pindai-paco-do-lumiar-ma-48m2-id-2644975258/;Pindaí; Paço do Lumiar
Avenida das Acácias da Península;OR Gestão Imobiliária | Vendo | VISTÃO LAGOA | Península Fit com 270 metros quadrados , maravilhoso apartamento , varandão gourmet., Imóvel com 4 quartos, sendo 4 suítes, anti sala muito grande, rouparia, sauna e jacuzzi no apartamento. Suíte principal com banheira de hidromassagem com uma varanda e vista lagoa , ótima cozinha e toda planejada. Andar alto, 4 vagas, dependências completas. Condomínio com total infraestrutura, academia, piscina , piscina aquecida , salão gourmet ,sala de cinema , salão de festas ,mini mercado etc.;270;4;6;4;2900000;3800;900;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-270m2-id-2641427858/;Barra da Tijuca; Rio de Janeiro
Rua Eduardo Geronasso;"Maravilhosa casa em Condominio fechado, com designer moderno e sofisticado Internamente, os ambientes são amplos e integrados, com lindos móveis planejados fixos e detalhes decorativos fazem toda a diferença!! Sala possui 3 ambientes, lavabo, área para churrasqueira, cozinha planejada, conta com fogão cooktop, forno e exaustor, área de serviço e jardim na parte de trás da casa.  No segundo andar possui 3 suítes, sendo máster com closet, banheira de hidromassagem, cuba dupla e armário planejado; 2º suíte possui sacada privativa e closet; suíte junior com armário planejado.  No pavimento superior possui ático para estar íntimo que pode ser utilizado como home theater ou home office, pontos para instalação de jacuzzi, banheiro social e terraço privativo. Possui 2 vagas de garagens.  Aceita financiamento e FGTS!  Agende sua visita com nossos consultores agora mesmo!!  Os valores mencionados podem ser alterados sem aviso prévio. -";282;3;5;2;1649000;300;498;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-bacacheri-curitiba-pr-282m2-id-2633518960/;Bacacheri; Curitiba
Rua dos Navegantes;O apartamento está localizado no bairro Boa Viagem possui 135 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, área verde de jardim, área de recreação infantil, salão para festas e eventos.  Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes. Churrasqueira para você aproveitar nos momentos de descontração.  O imóvel está financiado, venda somente por transferência ou quitação à vista!  Qualquer informação entre em contato no horário comercial.;135;3;2;2;320000;600;700;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-boa-viagem-recife-pe-135m2-id-2644146054/;Boa Viagem; Recife
