;Localização;Endereço;Descrição;Tamanho;Quartos;Banheiros;Vagas Garagem;Valores;Links
860;Jardim Maria Luiza, São Paulo;Rua Professor Antônio Pinto de Carvalho;"Você está procurando um lar aconchegante e espaçoso para chamar de seu? Não procure mais! Temos o prazer de apresentar a você um encantador sobrado localizado no Jardim Maria Luiza, perfeito para quem valoriza conforto, praticidade e um ambiente tranquilo. Confira os detalhes abaixo:

Características do imóvel:
2 dormitórios espaçosos
1 banheiro moderno e funcional
1 lavabo elegante
Sala de estar aconchegante
Cozinha prática e bem iluminada
Jardim com área de churrasqueira, ideal para momentos de lazer e descontração

Detalhes adicionais:
Área total: 120 metros quadrados
2 vagas de garagem
Localizado em uma região tranquila e segura, próxima a escolas, comércio local e facilidades de transporte

Este sobrado é perfeito para famílias pequenas que desejam desfrutar de um ambiente acolhedor e espaçoso. Seus cômodos bem distribuídos proporcionam conforto e privacidade, enquanto o jardim com área de churrasqueira oferece um espaço adicional para entretenimento e momentos especiais com amigos e familiares.

Não perca a oportunidade de adquirir este imóvel incrível! Entre em contato conosco agora mesmo para agendar uma visita e conhecer de perto todos os benefícios que esse sobrado tem a oferecer. Seja bem-vindo ao seu novo lar no Jardim Maria Luiza -";120 m²;2;2;2;R$ 425.000 Cond.  R$ 0 | IPTU R$ 112;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-churrasqueira-butanta-zona-oeste-sao-paulo-sp-120m2-id-2645528357/
861;Vila Gustavo, São Paulo;Rua da Grota;"Sobrado com 126 metros de área construída, 2 dormitórios, sala, cozinha, copa, 3 banheiros, área de serviço e 3 vagas de garagem. Localizado próximo a Avenida Gustavo Adolfo, fácil acesso ao transporte público e ampla rede de comércios como, restaurantes, bares, academias, mercados e muito mais. Agende sua visita e venha conferir. 

www.grupolupa.com.br
Tel.: I WhatsApp 

Visite nossas redes sociais:
Instagram.com/grupolupa
Facebook.com/lupaimobiliaria
Blog: http://blog.grupolupa.com.br/
Youtube: youtube.com/results?search_query=grupolupa";126 m²;2;3;3;R$ 550.000;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-vila-gustavo-zona-norte-sao-paulo-sp-126m2-id-2645526098/
862;Estância Monazítica, Serra;Rua Santa Lúcia;"Possuindo 2 andares, em boa localização perto da escola Maria Istela 
Oferta apenas a vista ou no parcelado com sinal de 50 mil 
Mais informações da casa pelo whatsapp 2️⃣7️⃣9️⃣9️⃣8️⃣3️⃣8️⃣0️⃣9️⃣7️⃣5️⃣ - Souza";134 m²;3;2;0;R$ 180.000 Cond.  R$ 0 | IPTU R$ 200;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-estancia-monazitica-serra-es-134m2-id-2645561366/
863;Parque Jacaraípe, Serra;Rua Porto Alegre;"Recém construída, com escrita em dia, próx do Campo do Grêmio de Jacaraipe. 
Financiável a partir de 35 mil de entrada 
Mais informações da casa pelo whatsapp 2️⃣7️⃣9️⃣9️⃣8️⃣3️⃣8️⃣0️⃣9️⃣7️⃣5️⃣ - Souza";114 m²;3;2;0;R$ 150.000 Cond.  R$ 0 | IPTU R$ 170;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-parque-jacaraipe-serra-es-114m2-id-2645558994/
864;São Pedro, Juiz de Fora;Rua Aristóteles Braga;"Localizada no bairro São Pedro, em rua no Condomínio Jardim das Azaléias, próximo de faculdades, supermercado, farmácias, bares e restaurantes, hospital e todo tipo de comércio ao entorno, esta casa é ideal para você que busca um amplo espaço , em uma casa duplex maravilhosa, excelente acabamento, nova e divisa com a UFMG.
Composta em seu primeiro pavimento por garagem para seis carros, ampla sala dois ambiente, cópa, cozinha, dependência de empregada e quintal. O segundo pavimento, acessado por escada é constituído por três suítes sendo uma com closet e varandão.
O imóvel possui pisos em duraflor e porcelanato, *rebaixamento em gesso. Casa de frente para a rua principal do condomínio.
Agende sua visita!";320 m²;3;4;6;R$ 1.320.000 Cond.  R$ 370 | IPTU R$ 3.500;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-sao-pedro-juiz-de-fora-mg-320m2-id-2645566629/
865;Vila Alexandrina, São José dos Campos;Rua Olivo Gomes;"Casa em ótima localização em Santana
3 dormitórios em taco e forro de madeira
1 sala em taco e forro de madeira
1 banheiro social com piso cerâmico
1 copa com piso cermâmico
1 cozinha com balcão com revestimento cerâmico
1 despensa
1 varanda parcialmente coberta
1 quintal
Garagem coberta para 4 carros

Edícula com entrada independente
1 sala
1 dormitório
1 cozinha
1 copa
1 banheiro social
1 área de serviço -";145 m²;3;1;4;R$ 535.000 Cond.  R$ 0 | IPTU R$ 486;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-santana-sao-jose-dos-campos-sp-145m2-id-2645567551/
866;Bonfim Paulista, Ribeirão Preto;;"Casa em condomínio Villa di San Francesco
 Terreno: 335m2
 Área Construida: 280m2 
 Sobrado alto padrão completíssimo.

 * 4 dormitórios sendo uma suíte máster climatizada com persianas blackout de fechamento automatizado para sacada, closet, cubas e chuveiros duplos e banheira riolax para casal.
 * Espaço gourmet amplo com ilha, fechado e climatizado, com chopeira naja, mesa de sinuca/jantar, churrasqueira a gás e cooktop de indução embutidos com coifas, torre quente, lava-louças, cervejeira.
 * Sala ampla com pé direito de 6,5 metros, com elevador e escada tipo cascata que levam ao piso superior, grandes vidros que trazem iluminação natural.
 * Sala home cinema climatizado no piso superior, com persianas blackout de fechamento automatizado para sacada. 
 * Autossuficiente em energia com placas fotovoltaicas e de aquecimento solar.
 * Piscina aquecida com mesa inox, prainha, hidro, cascata e iluminação.
 * 4 banheiros, sendo 1 lavabo.
 * Área de serviço completa.
 * Rica em armários.
 * Dispensa.
 * Revestimentos em porcelanato Portobello, Ceuza e Eliane.
 * Metais Deca e Docol com torneiras monocomando.
 * Forro de gesso com iluminação em led na casa toda.
 * Sistema de alarme e monitoramento por câmeras.

 Condomínio reservado com poucos lotes na zona sul da cidade de Ribeirão Preto, bairro Quintas de São José.
";335 m²;4;4;4;R$ 1.690.000 Cond.  R$ 510 | IPTU R$ 1.950;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-bonfim-paulista-ribeirao-preto-sp-335m2-id-2645560500/
867;Aclimação, São Paulo;Rua Ximbó;Casa a Venda em São Paulo, localizada na Rua Ximbó, 55 no Bairro da Aclimação O terreno tem 100m² e 238m² de area construida, constituida de 3 dormitorios, sendo uma suite e banheiro social, sala de estar/jantar (8,5 x 5m) c/lavabo, cozinha grande, quintal, area de serviço, garagem pra 3 carros medios, banheiro e escritorio no piso terreo. O piso da cozinha/banheiros e escadas é de granito, ar condicionado na suite e em um dos outros dormitorios, o piso da sala é tabua corrida de ipê com aplicação de bona, o piso dos dormitorios é em laminado de madeira, o piso do quintal, garagem e escritorio é de composite de marmore. A 1 km da avenida Paulista próximo do Metrô Ana Rosa - Ref.: REO792703;238 m²;3;3;2;R$ 1.350.000 Cond.  R$ 0 | IPTU R$ 340;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aclimacao-centro-sao-paulo-sp-238m2-id-2645576864/
868;Vila Marieta, Campinas;Rua Sales Leme;"Espaçoso sobrado à venda na Vila Marieta, em Campinas. 

São 3 quartos e 3 banheiros, totalmente reformados, piso porcelanato, amplos, com janelas gradeadas e muita iluminação natural.

Sala para até 3 ambientes, dependências de empregados com banheiro e entrada independente, área de serviço coberta.

Agende sua visita com um de nossos corretores! Pleno Imóveis – ou -";166 m²;3;3;2;R$ 620.000 Cond.  R$ 0 | IPTU R$ 172;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-varanda-vila-marieta-campinas-sp-166m2-id-2637974855/
869;Vila Santa Virginia, São Paulo;Rua Paulo Bender;Casa sobrado, com 4 dormitórios, sala de jantar e tv, churrasqueira, garagem, um dos quartos com sacada, venha agendar uma visita! 1907 Paulo Roberto Leardi - Unidade Anália Franco 174 Creci 26289 J;120 m²;3;3;2;R$ 650.000 Cond.  R$ 0 | IPTU R$ 290;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-vila-santa-virginia-zona-leste-sao-paulo-sp-120m2-id-2644728986/
870;Vila Matilde, São Paulo;Rua Tacanhunas;"REF.8151

Sobrado individual, 3 quartos sendo 1 suite, 3 vagas, sala ampla, area de servico, excelente localizacao proximo a todo comercio da Av. Waldemar Carlos Pereira e praça da toco.

R$795.000,00 aceita financiamento e FGTS

Fale conosco.";120 m²;3;3;3;R$ 795.000;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-matilde-zona-leste-sao-paulo-sp-120m2-id-2641079731/
871;Encruzilhada, Santos;;"A melhor opção com o melhor preço de santos com lazer completo.

Excelente apartamento a poucos metros da Francisco Glicério a 50 mtrs do VLT,em condomínio novo com mais de 30 itens de lazer
Sendo 2 dormitórios c 1 suite, sala dois ambientes, cozinha , 2 banheiros,área de serviço e 1 vaga de garagem.

No bairro encontramos ótima logística de comércio, supermercados e empreendimentos corporativos.

2 dormitórios sendo 1 suite amplos e arejados
Sala para 2 ambientes ampla com sacada gourmet
Cozinha americana com área de serviço conjugada
Prédio com lazer completo : Espaço com churrasqueiras, Piscina adulto e infantil, salão e festas e Jogos.

Agende agora sua Visita !!!

OPORTUNIDADE.";68 m²;2;2;1;R$ 520.000 Cond.  R$ 570 | IPTU R$ 250;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-encruzilhada-santos-sp-68m2-id-2635662253/
872;Alphaville, Santana de Parnaíba;Alameda das Artemísias;"Vendo casa em Alphaville Condomínio Residencial 5 c/4 suítes, 2 lavabos (sendo 1 para piscina) e 5 vagas 
 
 Área Gourmet com pé direito duplo, Sala de estar, Lavabo, Sala de TV integrada c/área da churrasqueira (elétrica), SL jantar, Copa/ Cozinha, Lavanderia, Piscina c/ Cascata (32m2), Lavabo + Reservado + Ducha para atender a piscina, Quintal com piso e muro revestido e toda iluminaçao externa com LED SOLAR, garagem p/ 6 autos (sendo 2 cobertas), 4 suítes c/espaço para closets, escritório 
 
 IPTU anual R$ 4.943,18 
 
 Condomínio mensal R$ 903,19 
 
 Condomínio fechado c/ segurança armada 24 hs, Parque infantil, pista skate, quadra poliesportiva, campo futebol c/ churrasqueira coberta, academia, trilha, gás encanado. 
 
 Area total construída 288,26 m2 em Terreno de 384,90 m2 
 
 
 - Características: Aquecimento Solar, Ar Condicionado, Móveis Planejados,";288 m²;4;6;6;R$ 2.809.000 Cond.  R$ 903 | IPTU R$ 411;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-alphaville-santana-de-parnaiba-sp-288m2-id-2580071060/
873;Vila Gustavo, São Paulo;Rua da Grota;"Sobrado com 126 metros de área construída, 2 dormitórios, sala, cozinha, copa, 3 banheiros, área de serviço e 3 vagas de garagem. Localizado próximo a Avenida Gustavo Adolfo, fácil acesso ao transporte público e ampla rede de comércios como, restaurantes, bares, academias, mercados e muito mais. Agende sua visita e venha conferir. 

www.grupolupa.com.br
Tel.: I WhatsApp 

Visite nossas redes sociais:
Instagram.com/grupolupa
Facebook.com/lupaimobiliaria
Blog: http://blog.grupolupa.com.br/
Youtube: youtube.com/results?search_query=grupolupa";126 m²;2;3;3;R$ 550.000;https://www.zapimoveis.com.br/imovel/venda-sobrados-2-quartos-com-cozinha-vila-gustavo-zona-norte-sao-paulo-sp-126m2-id-2645526098/
874;Estância Monazítica, Serra;Rua Santa Lúcia;"Possuindo 2 andares, em boa localização perto da escola Maria Istela 
Oferta apenas a vista ou no parcelado com sinal de 50 mil 
Mais informações da casa pelo whatsapp 2️⃣7️⃣9️⃣9️⃣8️⃣3️⃣8️⃣0️⃣9️⃣7️⃣5️⃣ - Souza";134 m²;3;2;0;R$ 180.000 Cond.  R$ 0 | IPTU R$ 200;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-estancia-monazitica-serra-es-134m2-id-2645561366/
875;Parque Jacaraípe, Serra;Rua Porto Alegre;"Recém construída, com escrita em dia, próx do Campo do Grêmio de Jacaraipe. 
Financiável a partir de 35 mil de entrada 
Mais informações da casa pelo whatsapp 2️⃣7️⃣9️⃣9️⃣8️⃣3️⃣8️⃣0️⃣9️⃣7️⃣5️⃣ - Souza";114 m²;3;2;0;R$ 150.000 Cond.  R$ 0 | IPTU R$ 170;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-parque-jacaraipe-serra-es-114m2-id-2645558994/
876;São Pedro, Juiz de Fora;Rua Aristóteles Braga;"Localizada no bairro São Pedro, em rua no Condomínio Jardim das Azaléias, próximo de faculdades, supermercado, farmácias, bares e restaurantes, hospital e todo tipo de comércio ao entorno, esta casa é ideal para você que busca um amplo espaço , em uma casa duplex maravilhosa, excelente acabamento, nova e divisa com a UFMG.
Composta em seu primeiro pavimento por garagem para seis carros, ampla sala dois ambiente, cópa, cozinha, dependência de empregada e quintal. O segundo pavimento, acessado por escada é constituído por três suítes sendo uma com closet e varandão.
O imóvel possui pisos em duraflor e porcelanato, *rebaixamento em gesso. Casa de frente para a rua principal do condomínio.
Agende sua visita!";320 m²;3;4;6;R$ 1.320.000 Cond.  R$ 370 | IPTU R$ 3.500;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-sao-pedro-juiz-de-fora-mg-320m2-id-2645566629/
877;Vila Alexandrina, São José dos Campos;Rua Olivo Gomes;"Casa em ótima localização em Santana
3 dormitórios em taco e forro de madeira
1 sala em taco e forro de madeira
1 banheiro social com piso cerâmico
1 copa com piso cermâmico
1 cozinha com balcão com revestimento cerâmico
1 despensa
1 varanda parcialmente coberta
1 quintal
Garagem coberta para 4 carros

Edícula com entrada independente
1 sala
1 dormitório
1 cozinha
1 copa
1 banheiro social
1 área de serviço -";145 m²;3;1;4;R$ 535.000 Cond.  R$ 0 | IPTU R$ 486;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-cozinha-santana-sao-jose-dos-campos-sp-145m2-id-2645567551/
878;Bonfim Paulista, Ribeirão Preto;;"Casa em condomínio Villa di San Francesco
 Terreno: 335m2
 Área Construida: 280m2 
 Sobrado alto padrão completíssimo.

 * 4 dormitórios sendo uma suíte máster climatizada com persianas blackout de fechamento automatizado para sacada, closet, cubas e chuveiros duplos e banheira riolax para casal.
 * Espaço gourmet amplo com ilha, fechado e climatizado, com chopeira naja, mesa de sinuca/jantar, churrasqueira a gás e cooktop de indução embutidos com coifas, torre quente, lava-louças, cervejeira.
 * Sala ampla com pé direito de 6,5 metros, com elevador e escada tipo cascata que levam ao piso superior, grandes vidros que trazem iluminação natural.
 * Sala home cinema climatizado no piso superior, com persianas blackout de fechamento automatizado para sacada. 
 * Autossuficiente em energia com placas fotovoltaicas e de aquecimento solar.
 * Piscina aquecida com mesa inox, prainha, hidro, cascata e iluminação.
 * 4 banheiros, sendo 1 lavabo.
 * Área de serviço completa.
 * Rica em armários.
 * Dispensa.
 * Revestimentos em porcelanato Portobello, Ceuza e Eliane.
 * Metais Deca e Docol com torneiras monocomando.
 * Forro de gesso com iluminação em led na casa toda.
 * Sistema de alarme e monitoramento por câmeras.

 Condomínio reservado com poucos lotes na zona sul da cidade de Ribeirão Preto, bairro Quintas de São José.
";335 m²;4;4;4;R$ 1.690.000 Cond.  R$ 510 | IPTU R$ 1.950;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-com-piscina-bonfim-paulista-ribeirao-preto-sp-335m2-id-2645560500/
879;Aclimação, São Paulo;Rua Ximbó;Casa a Venda em São Paulo, localizada na Rua Ximbó, 55 no Bairro da Aclimação O terreno tem 100m² e 238m² de area construida, constituida de 3 dormitorios, sendo uma suite e banheiro social, sala de estar/jantar (8,5 x 5m) c/lavabo, cozinha grande, quintal, area de serviço, garagem pra 3 carros medios, banheiro e escritorio no piso terreo. O piso da cozinha/banheiros e escadas é de granito, ar condicionado na suite e em um dos outros dormitorios, o piso da sala é tabua corrida de ipê com aplicação de bona, o piso dos dormitorios é em laminado de madeira, o piso do quintal, garagem e escritorio é de composite de marmore. A 1 km da avenida Paulista próximo do Metrô Ana Rosa - Ref.: REO792703;238 m²;3;3;2;R$ 1.350.000 Cond.  R$ 0 | IPTU R$ 340;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-aclimacao-centro-sao-paulo-sp-238m2-id-2645576864/
880;Vila Marieta, Campinas;Rua Sales Leme;"Espaçoso sobrado à venda na Vila Marieta, em Campinas. 

São 3 quartos e 3 banheiros, totalmente reformados, piso porcelanato, amplos, com janelas gradeadas e muita iluminação natural.

Sala para até 3 ambientes, dependências de empregados com banheiro e entrada independente, área de serviço coberta.

Agende sua visita com um de nossos corretores! Pleno Imóveis – ou -";166 m²;3;3;2;R$ 620.000 Cond.  R$ 0 | IPTU R$ 172;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-varanda-vila-marieta-campinas-sp-166m2-id-2637974855/
881;Vila Santa Virginia, São Paulo;Rua Paulo Bender;Casa sobrado, com 4 dormitórios, sala de jantar e tv, churrasqueira, garagem, um dos quartos com sacada, venha agendar uma visita! 1907 Paulo Roberto Leardi - Unidade Anália Franco 174 Creci 26289 J;120 m²;3;3;2;R$ 650.000 Cond.  R$ 0 | IPTU R$ 290;https://www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-vila-santa-virginia-zona-leste-sao-paulo-sp-120m2-id-2644728986/
882;Santo Amaro, São Paulo;Avenida João Dias;1907 Paulo Roberto Leardi - Unidade Chácara Santo Antônio 270 Creci 42919 J;68 m²;2;2;2;R$ 1.700.000 Cond.  R$ 900 | IPTU R$ 180;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-granja-julieta-zona-sul-sao-paulo-sp-68m2-id-2645018023/
883;Indianópolis, São Paulo;Alameda dos Jurupis;1907 Paulo Roberto Leardi - Unidade Chácara Santo Antônio 270 Creci 42919 J;112 m²;3;4;2;R$ 1.350.000 Cond.  R$ 2.934 | IPTU R$ 675;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-moema-zona-sul-sao-paulo-sp-112m2-id-2642629955/
884;Brooklin Paulista, São Paulo;Rua Princesa Isabel;1907 Paulo Roberto Leardi - Unidade Chácara Santo Antônio 270 Creci 42919 J;160 m²;3;4;2;R$ 2.170.000 Cond.  R$ 1.500 | IPTU R$ 800;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-brooklin-zona-sul-sao-paulo-sp-160m2-id-2644228290/
885;Quintino Bocaiúva, Rio de Janeiro;Rua Guaramiranga;"Oportunidade Real !

 Ampla Casa espetacular me quintinho / cascadura Com 242m² - 4 Qts sendo 2 suítes - 4 Vagas sendo 2 Cobertas

 Amplo Quintal totalmente arborizado e gramado.

 A 20m da av dom helder camara.

 Rua Guaramiranga

 Uma linda Casa de praia no coração do subúrbio carioca.

 1? Andar - Sala em 2 ambientes banheiro social, 2 quartos sendo um deles uma suíte externa , ampla cozinha muito arejada e área de serviço totalmente independente.

 Quintal de excelente tamanho na frente da casa totalmente gramado e arborizado

 2? Andar - 2 quartos sendo um deles uma suíte master com closet, banheiro social e acesso a um varandão com linda vista para rua e o quintal.

 3? Andar- salão com lavabo.

 Casa realmente LINDA.

 Ideal para quem tem familia grande ou busca por MUITO CONFORTO !

 Toda em estilo colonial.

 Aceita financiamento e FGTS de entrada .
-Cod:TSCA40011 -Rev.23Jul";242 m²;4;5;4;R$ 465.000 Cond.  R$ 0 | IPTU R$ 1.900;https://www.zapimoveis.com.br/imovel/venda-casa-4-quartos-com-cozinha-cascadura-zona-norte-rio-de-janeiro-rj-242m2-id-2634502638/
886;Água Verde, Curitiba;Rua Acyr Guimarães;"Apartamento amplo, ensolarado, acolhedor bem no coração do Batel! 

Excelente apartamento em prédio de alto padrão em região privilegiada do Batel, a poucos metros da praça do Japão. Em sua vizinhança está o Pátio Shoppin Batel, Hospital Santa Cruz, diversos bancos e restaurantes, farmácias, padarias, escolas, etc.

Apartamento ensolarado, 01 por andar, face oeste/leste, 10º andar.
São 387,06 m² de área total e 242,29 m² de área privativa, assim distribuídos:
- Lavabo finamente decorado;
- Sala de estar para 02 ambientes, com sacada. Piso em madeira com acabamento em mármore travertino nas laterais;
- Sala de jantar com lareira e piso em madeira com acabamento em mármore travertino;
- Área intima com Banheiro social, 04 quartos, sendo 02 suítes (01 master com banheira de hidromassagem e armários).
- Cozinha ampla com armários planejados.
- Dependências de serviços (quarto e banheiro).
- Área de Serviços.
- 03 vagas na garagem, sendo 01 individual e 01 dupla.

O Condomínio oferece ótima estrutura de serviços:
- Portaria 24 horas
- Elevadores
- Salão de festas finamente decorado
- Playground
- Churrasqueira

Valor: R$ 1.500,000,00
Condomínio: R$ 2.600,00";242 m²;4;4;3;R$ 1.500.000 Cond.  R$ 2.210 | IPTU R$ 620 Preço abaixo do mercado;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-churrasqueira-agua-verde-curitiba-pr-242m2-id-2554215119/
887;Freguesia (Jacarepaguá), Rio de Janeiro;Rua Potiguara;"CÓD: RR1580 – RIZZI IMÓVEIS ADMINISTRADORA DE BENS VENDE: Com ótima localização, esse lindo apartamento fica no excelente Condomínio Grand Valley, no bairro Freguesia. Junto ao centro do bairro, próximo aos principais comércios, bancos, escolas e mercados, como: Mundial, Assaí e Prezunic. Fácil acesso à Alto Estrada Grajaú Jacarepaguá, Novo Shopping da Multiplan Park Jacarepaguá, Linha Amarela e Barra da Tijuca.

O imóvel possui 76m², distribuídos em:

Sala em dois ambientes, ampla varanda, três quartos sendo um suíte, banheiro social, cozinha planejada, lavanderia e uma vaga de garagem. O apartamento possui teto rebaixado, armários planejados nos quartos, cozinha e banheiros (com box blindex), piso em porcelanato, finamente decorado, andar alto, vista livre, cômodos arejados, sol da manhã, aquecedor à gás e hidrômetro de água individual. 

O Condomínio conceito clube possui total infraestrutura de lazer e segurança, com: Bar, Área de convivência, Playground, Piscina, Churrasqueira, Salão de festas, Espaço gourmet, Academia, Sala de jogos, Brinquedoteca, Elevador, Segurança e Portaria 24horas.

Nada a fazer, entrar e morar! 

Documentação cristalina, aceitando financiamento bancário e FGTS.

Ligue e agende sua visita. 
Temos outros imóveis, acesse nosso site e confira: www.rizzimoveis.com.br

Corretor de plantão: Rafael Rizzi Creci Rj - 063026
Rizzi Imóveis Sua Certeza Imobiliária!
Creci Jurídico RJ-009334/0";76 m²;3;2;1;R$ 575.000 Cond.  R$ 890 | IPTU R$ 970;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-76m2-id-2615410011/
888;Pitangueiras, Guarujá;;"Apartamento 3 dormitórios, 1 suíte, 1 vaga a venda sem mobília, EXCELENTE INVESTIMENTO PARA REFORMA na Praia das Pitangueiras - FRENTE MAR, Guarujá/SP.

Apartamento com 160m² de Área Útil, distribuídos em: 1 sala para 2 ambientes com varanda frontal - VISTA TOTAL E CINEMATOGRÁFICA DO MAR, 3 dormitórios (destes, 1 é suíte), 3 banheiros (destes, 1 é da suíte, 1 é de serviço e 1 é social - social reformado, revestido paredes com porcelanato marmorizado, piso porcelanato cinza e blindex), cozinha ampla e arejada rica em armários, área de serviço e 1 vaga rotativa na garagem.

Condomínio sem lazer, com Elevador, Zelador, Vagas Rotativas do Prédio, Portão Eletrônico e Jardim.

Situado a cerca de 15m da Praia das Pitangueiras (frente ao calçadão), próximo às Barracas de Praia, Boulevard Gastronômico do Guarujá ""Rua Rio de Janeiro"", próximo à Avenida Puglisi (repleta de pontos comerciais, bancos, fastfood, lojas de vestuário e utilidades), a poucos minutos do Supermercado Joia e Pão de Açúcar, Minimercado Extra, Restaurantes Chopp Halle e Monduba.

A SMH Imóveis é uma empresa que atua no mercado imobiliário especializada na comercialização de imóveis no Guarujá, com sistema de gestão que acompanha toda a fase de negociação, contamos com uma equipe altamente qualificada para auxiliar você na realização do seu sonho.

Agende hoje mesmo uma visita, e descubra como morar na mais badalada Praia de Guarujá. -";160 m²;3;3;1;R$ 702.000 Cond.  R$ 1.300 | IPTU R$ 750;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-pitangueiras-guaruja-sp-160m2-id-2645636631/
889;Enseada, Guarujá;;"Apartamento 2 dormitórios, 1 vaga com Lazer na Praia da Enseada - Hotéis, Guarujá/SP.

Apartamento com 80m² de Área Útil, distribuído em: Sala com sacada e vista para o mar, 2 dormitórios, cozinha, área de serviço, 1 banheiro, 1 vaga na garagem.

Condomínio com Zelador, Portaria 24h. Elevador Social, Elevador de Serviço e lazer com sala de jogos churrasqueira, salão de festas, sauna.

Situado a cerca de 700m da Praia da Enseada.

A SMH Imóveis, é uma empresa que atua no mercado imobiliário especializada na comercialização de imóveis no Guarujá, com sistema de gestão que acompanha toda a fase de negociação, contamos com uma equipe altamente qualificada para auxiliar você na realização do seu sonho.

Agende hoje mesmo uma visita, e descubra como morar com plenitude da tranquilidade das Praias de Guarujá. -";60 m²;2;1;1;R$ 290.000 Cond.  R$ 700 | IPTU R$ 290;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-enseada-guaruja-sp-60m2-id-2645636646/
890;Bela Vista, São Paulo;;"Apartamento 3 dormitórios - 1 vaga, vazio, a venda na Bela Vista, São Paulo/SP

Apartamento com 202m² de Área Útil, muito bem distribuídos em: Sala ampla para 2 ambientes com excelente ventilação - rico em janelas, 3 dormitórios, 2 banheiros, cozinha, área de serviço, despensa e 1 vaga na garagem com depósito privativo.

Situado na Rua São Carlos do Pinhal, em uma das melhores localizações da região da ""Paulista"", estando a menos de 500m da Estação do Metrô, Linha 2 - Verde: Trianon-Masp ou até mesmo da Estação do Metrô, Linha 2 - Verde: Brigadeiro (700m), podendo assim, viver momentos de calmaria em passeios ao Parque Tenente Siqueira Campos, aproveitar a badalação das noites nas adjacências, como na Avenida Paulista, Rua Augusta, em suas casas noturnas.

Aproveite todo o espaço disponível nesse incrível apartamento para reunir muita gente, fazer festas e confraternizar.

A SMH Imóveis é uma empresa que atua no mercado imobiliário especializada na comercialização de imóveis desde o Guarujá, onde temos nossa sede, atuamos com sistema de gestão acompanhando toda a fase de negociação, contamos com uma equipe altamente qualificada para auxiliar você na realização do seu sonho.

Agende hoje mesmo uma visita, e descubra como morar na mais badalada vizinhança da Capital Paulista. -";202 m²;3;3;1;R$ 1.540.000 Cond.  R$ 1.800 | IPTU R$ 530;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-bela-vista-centro-sao-paulo-sp-202m2-id-2645640956/
